ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
BP	mitochondrial genome maintenance	31	0	1	1	TWNK
BP	reproduction	1483	186	0.125616748484004	1	GNPDA1,ADGRG2,TRIM28,CDK2,SYCP2,HOXB13,CIB1,AKAP3,RAD51AP1,KHDRBS1,KLF1,PTTG2,KDM5B,CGA,TUBGCP2,ACTL7A,HSF2BP,PTGDR2,PHB2,ODF3,KLHDC3,SLC26A8,CATSPER2,GTSF1,TDRD9,SPATA25,COL9A3,LYZL4,SLC9B2,PACRG,ASZ1,CTCFL,STK35,ADIG,SGO1,PNLDC1,CFAP206,CYP19A1,GARIN2,ACE,PAQR7,WBP2NL,SPACA4,AGRP,GGN,A2M,CCNY,SPATA19,FGF9,FOXJ1,FOXO3,UBR2,NCAPH,SIRT1,FOLR1,CBX7,FOLR2,TSSK2,PRND,MTOR,CFAP65,RAD54B,CFAP45,TTLL1,ANAPC13,NECTIN3,GATA1,MYCBP,GDF9,GGT1,AMHR2,TUBGCP4,GNRH1,TSSK4,TERB1,NCAPH2,ANAPC2,ANAPC4,ANXA1,H1-6,H3-3A,HSD11B2,HSF2,TMEM119,STRA8,ING2,INHA,INHBA,INSR,INSRR,KISS1,KRT19,LEP,BMAL1,SMAD1,SMCP,MEA1,MEN1,MLH1,MMP19,MST1R,NBN,ATM,ATP1A4,NODAL,NOS3,NPPA,NTRK1,OPRL1,CLDN11,OVGP1,SYCP3,PBX1,SERPINA5,DUSP13,NME8,PDGFRB,ARID4B,SERPINB5,PMCH,WNT4,SLC38A2,MOV10L1,ZCWPW1,CCDC87,CHFR,AXL,FOXJ2,ADCY10,PRKDC,ACRV1,PRLR,PRM1,SPHK2,BAD,FANCM,PTPRN,PZP,ACE2,CCND1,BCL2,BCL2L1,ROS1,DMRTC2,DMRTB1,SEMG1,SEMG2,ELSPBP1,IRF2BPL,SPATA20,SLC2A1,BMP4,BMPR1A,SOX15,SPINK1,STAU1,STK11,TACR2,TARBP2,TESK1,TH,THRB,TNFAIP6,TNP1,TNP2,C3,TRPC3,MORN2,TYRO3,WT1,XRCC2,ZNF148,ZP3,HROB,BRME1,C11orf80,UBXN8,ACSBG2,MKKS,USP9X,SMC1A,NUF2,HYAL3,SPATA9,SPATA16,TSSK6,MYCBPAP,ZMYND15,RECK,ACRBP,C9orf24,GCM1,CABS1,AKAP4,PKMYT1,ACVR1B,RGN,CCNE2,ADGRG1,SLC22A14,CLOCK,NCOR2,ESPL1,CEP57,UTP14C,WASHC5,NCAPD2,DLEC1
MF	alpha-1,6-mannosyltransferase activity	2	0	0.999999999991851	1	ALG12
MF	trans-hexaprenyltranstransferase activity	2	1	0.234613436112813	1	PDSS2
BP	single strand break repair	11	2	0.380151074645956	1	ERCC6,SIRT1,TNP1
MF	single-stranded DNA endodeoxyribonuclease activity	10	1	0.719518882412811	1	SETMAR
CC	phosphopyruvate hydratase complex	4	0	1	1	
MF	lactase activity	1	0	0.999999999969302	1	
BP	alpha-glucoside transport	2	1	0.226910132963472	1	SLC5A2
BP	regulation of DNA recombination	132	15	0.610129298235227	1	RAD51AP1,MORF4L1,HELQ,ERCC6,POGZ,SETD2,H1-5,H1-6,IL2,MLH1,FOXP3,ZCWPW1,PPP4C,UBQLN4,ACTB,MAGEF1,SUPT6H,VPS72,TNFSF13,RECQL5,IL27RA
