seqnames	start	end	width	strand	stat	diff	ind.fdr	is.sig	probeID	logFC	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type	cpg.type
chr1	1510883	1510883	1	*	11.7896845872126	0.0405718136311128	6.09981470565104e-23	TRUE	cg20755353	0.0623362275236415	chr1	1509470	1511497	2028	*	shore:164				hg38_cpg_shores	CpG shores
chr1	1821981	1821981	1	*	7.0464960506018	0.0325048132460532	2.37075352989623e-10	TRUE	cg03716942	0.0635658448347484	chr1	1786703	1885965	99263	*	inter:44				hg38_cpg_inter	Open sea
chr1	1850414	1850414	1	*	7.61888926953293	0.0444792067770504	9.47221183071365e-12	TRUE	cg10943191	0.212078270166318	chr1	1786703	1885965	99263	*	inter:44				hg38_cpg_inter	Open sea
chr1	6454326	6454326	1	*	7.39680475823456	0.0992693492491335	3.04970845316362e-11	TRUE	cg25165880	0.483263096040185	chr1	6454048	6455985	1938	*	island:344				hg38_cpg_islands	CpG islands
chr1	6614341	6614341	1	*	11.0826436500191	0.0696649980747015	7.36711151513108e-21	TRUE	cg07274506	0.0243806115444273	chr1	6612726	6615681	2956	*	island:358				hg38_cpg_islands	CpG islands
chr1	6672620	6672620	1	*	8.19886429533471	0.08677897574124	3.00624455290451e-13	TRUE	cg06778853	0.254652417303713	chr1	6629781	6697234	67454	*	inter:157				hg38_cpg_inter	Open sea
chr1	7913081	7913081	1	*	6.73574508705966	0.0652629513343802	1.11438245577874e-09	TRUE	cg10500283	0.0518610006439677	chr1	7831417	7938347	106931	*	inter:167				hg38_cpg_inter	Open sea
chr1	9295432	9295432	1	*	12.0577749404626	0.048348093954563	1.017388137818e-23	TRUE	cg25284492	0.0230758279073773	chr1	9293835	9295834	2000	*	shore:660				hg38_cpg_shores	CpG shores
chr1	10001911	10001911	1	*	8.78672986886967	0.0320620954692558	9.94587874747135e-15	TRUE	cg15226751	0.0334108688884184	chr1	10000051	10002050	2000	*	shelf:484				hg38_cpg_shelves	CpG shelves
chr1	11160205	11160205	1	*	7.35274135701208	0.0541095494801695	3.89898846187466e-11	TRUE	cg03617456	0.0548771665878661	chr1	11104080	11258200	154121	*	inter:217				hg38_cpg_inter	Open sea
chr1	11249046	11249046	1	*	11.0318949029282	0.0417126225490197	8.2924863075792e-21	TRUE	cg04508649	0.06378808648544	chr1	11104080	11258200	154121	*	inter:217				hg38_cpg_inter	Open sea
chr1	11249539	11249539	1	*	8.42896546354968	0.0283333333333337	8.67580495190675e-14	TRUE	cg21223353	0.581691117670004	chr1	11104080	11258200	154121	*	inter:217				hg38_cpg_inter	Open sea
chr1	11713540	11713540	1	*	8.10433565454351	0.0646719468574348	5.79443528755067e-13	TRUE	cg06848073	0.498325461001759	chr1	11696595	11715508	18914	*	inter:226				hg38_cpg_inter	Open sea
chr1	11907324	11907324	1	*	7.37998905074601	0.0450135487232935	3.65951061597252e-11	TRUE	cg06584407	0.0669736901799493	chr1	11863499	11921585	58087	*	inter:232				hg38_cpg_inter	Open sea
chr1	11919699	11919699	1	*	-12.0153557465051	-0.112645360030805	1.33894926597944e-23	TRUE	cg22927043	0.376395181945473	chr1	11863499	11921585	58087	*	inter:232				hg38_cpg_inter	Open sea
chr1	12078821	12078821	1	*	7.96648586933552	0.0270448150078166	1.33515007819877e-12	TRUE	cg15770654	0.0696979316526522	chr1	12068092	12162818	94727	*	inter:237				hg38_cpg_inter	Open sea
chr1	14029875	14029875	1	*	10.5607558033592	0.147160194174757	1.59643742765247e-19	TRUE	cg25402049	0.0464209763162024	chr1	13897243	14594113	696871	*	inter:249				hg38_cpg_inter	Open sea
chr1	14030611	14030611	1	*	8.66083697805015	0.0466362688900469	2.24212883016713e-14	TRUE	cg12379145	0.121904012221001	chr1	13897243	14594113	696871	*	inter:249				hg38_cpg_inter	Open sea
chr1	14032204	14032204	1	*	10.5260659629815	0.149123501823867	2.35534843466098e-19	TRUE	cg19324313	0.204097828558905	chr1	13897243	14594113	696871	*	inter:249				hg38_cpg_inter	Open sea
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148	chr1	15736011	15740132	4122	*	inter:264				hg38_cpg_inter	Open sea
chr1	15783190	15783190	1	*	7.80309295135208	0.0305377800937988	3.40137173063408e-12	TRUE	cg15952725	0.0668841620431473	chr1	15763368	15830764	67397	*	inter:266				hg38_cpg_inter	Open sea
chr1	15986245	15986245	1	*	13.2750943364084	0.0847354166666667	4.71652809806912e-27	TRUE	cg09559551	0.0657783543694175	chr1	15980178	16069152	88975	*	inter:271				hg38_cpg_inter	Open sea
