seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes
chr10	135049991	135050149	159	*	6	2.55774154438956e-125	2.49019870918335e-87	2.00766402798408e-36	7.28190212798928e-99	0.118194070080862	0.0751548260813759	NA
chr11	44332332	44333192	861	*	26	1.1517463971599e-51	9.91293178022606e-88	2.60536966016028e-15	1.61748201936432e-98	0.133139199075857	0.0420682888540031	NA
chr2	98409192	98409392	201	*	5	2.03631124269648e-82	1.58249875012655e-90	1.99169489237491e-26	1.84545957766309e-89	0.0579238861386144	0.0485410925251579	TMEM131
chr7	18067403	18067535	133	*	5	1.18512087603082e-101	3.71874349985856e-81	5.04347654224672e-28	1.32787482005211e-86	0.123507034914018	0.0625560269724033	PRPS1L1
chr18	56529835	56529878	44	*	4	1.42407813016021e-119	1.01672888458116e-81	4.50154282840535e-36	3.76156166590388e-82	0.13068969072165	0.0699782688699182	ZNF532
chr20	44044586	44044875	290	*	9	3.29932286490066e-81	4.53556198736984e-58	9.399414324074e-25	5.41681527589498e-80	0.219234693877551	0.0546864972404056	PIGT
chr10	106034575	106034747	173	*	4	1.04114308106767e-108	1.2516687211373e-73	2.06707030852527e-41	2.64537154936591e-78	0.169441663457836	0.066297651135926	GSTO2
chr22	36697021	36697055	35	*	4	1.68239019281761e-114	2.93147880168847e-73	5.90489300447103e-31	1.00414323309567e-77	0.111306347281181	0.0696881601649252	MYH9
chr6	166797061	166797387	327	*	12	2.54785276793191e-56	2.42194983780768e-57	1.98646996919642e-22	3.1096643654104e-76	0.0804928763958415	0.0126362950840714	RP1-168L15.5
chr20	61903949	61904196	248	*	6	1.12873198775787e-89	7.268380001865e-58	2.25304183075253e-30	5.46692644015472e-76	0.238850596842511	0.0589876486482552	ARFGAP1, NKAIN4
chr18	74728931	74729251	321	*	9	3.60921668322604e-58	1.87841489252988e-73	1.84060790206856e-18	6.47871040579547e-76	-0.0508118872549021	0.0162780007263586	MBP
chr22	19512903	19513176	274	*	8	1.65788055891921e-55	2.91765885409537e-75	1.0890076898021e-18	3.52795494500244e-75	0.0740191831683172	0.0527104341164416	CLDN5
chr10	373957	374092	136	*	3	1.5439929646176e-88	2.18583087583681e-72	5.23738679405524e-31	1.96030131567538e-72	0.10296875	0.0697212357108838	DIP2C
chr6	17706856	17707018	163	*	6	1.51402883250556e-97	2.04817748094611e-56	1.26988260804885e-26	2.43102240222559e-72	0.152997689641894	0.0377494865870877	RP11-500C11.3
chr12	46319990	46320110	121	*	4	6.21642430476338e-94	8.73706816973863e-73	2.38677379650821e-25	7.13892031688963e-72	0.0843966617574866	0.0573825898932862	SCAF11
chr7	155079975	155080124	150	*	3	4.83822101387501e-67	1.96647241087754e-68	6.88709093351467e-33	3.0560505015606e-71	0.109966666666667	0.0481426146473447	NA
chr18	42531070	42531132	63	*	3	1.68934754835554e-99	1.57804080099335e-72	2.02455178030083e-28	3.71629547894317e-71	0.0852253891247221	0.0656079165469771	SETBP1
chr8	145729106	145729196	91	*	5	1.55728848554937e-105	9.29893125063285e-65	2.61401522639885e-34	1.30312368684244e-70	-0.116763613861386	0.0106781138645473	GPT, CTD-2517M22.14
chr7	91763850	91764089	240	*	8	3.90314435392106e-66	2.57252398786525e-50	3.38894481339338e-29	3.53389303777369e-70	0.212803234501348	0.0539620234886408	CTB-161K23.1, CYP51A1, LRRD1
chr10	49813128	49813434	307	*	6	4.85591394009024e-98	1.64662481679328e-54	9.57811839020827e-40	8.78837168677203e-70	0.281262995764343	0.0911692979078423	ARHGAP22
chr8	27472259	27472513	255	*	9	4.30445248457674e-84	2.57975236848867e-50	2.46469561584056e-30	5.1276455466151e-69	0.120186753946862	0.0439302828049459	CLU
chr10	89623336	89623360	25	*	4	1.74903392054897e-100	6.13010977360527e-62	9.64498165009605e-32	1.2547171900774e-68	0.0865729688101655	0.0294033981517135	PTEN
chr20	16710536	16710653	118	*	6	1.35799705234585e-100	1.96449921738328e-45	3.01801809125768e-30	1.63726756123635e-68	0.183796688486715	0.0487177512514439	SNRPB2, RP4-705D16.3
chr17	54893255	54893317	63	*	4	6.2702111966306e-87	8.05774262361441e-70	8.95989274892129e-23	3.6334235745126e-68	0.1050753370341	0.0607383279054259	C17orf67
chr6	165831898	165831935	38	*	3	6.27667606160693e-94	2.20771132062849e-68	1.2238878235415e-27	1.66412491579184e-67	0.111203429621313	0.0770740392467082	PDE10A
chr20	36156526	36156634	109	*	7	1.70731926551812e-122	1.45231623807055e-40	3.27309102883371e-34	4.16050205801192e-67	0.0899114362726224	0.0190255239562132	NA
chr11	63852804	63853037	234	*	4	1.12947253865106e-68	1.73942289352631e-64	8.24619714449516e-29	3.24935648616129e-66	0.0795612298071914	0.0391982104039156	RP11-21A7A.2, RP11-21A7A.4, MACROD1
chr7	37025706	37025890	185	*	4	3.84969485435705e-58	3.93521779107277e-68	9.79455289051081e-20	3.806839684064e-66	0.0524347694174757	0.0489018813030994	ELMO1
chr13	113436564	113436651	88	*	3	5.3406414810969e-97	5.29077524020876e-64	7.2924408071314e-33	8.02556097562632e-66	0.0966154247003648	0.0637101662644548	ATP11A
chr15	101142384	101142580	197	*	5	1.79153088125287e-63	4.25318346156222e-48	2.74586823888422e-31	9.84692954811152e-66	0.207612629957644	0.0698332691567193	LINS
chr11	9595191	9595265	75	*	6	4.03624814260236e-105	2.13742107824539e-42	4.01094532223852e-33	9.90725848574897e-66	0.0617866769349248	0.0286794057245539	WEE1
chr19	58459097	58459358	262	*	7	8.39127809392694e-86	4.44334772799332e-36	4.06406104492932e-39	1.37919638423536e-65	0.204289564882557	0.0273263105781396	NA
chr19	4455239	4455413	175	*	3	6.17896869387592e-85	2.3838992755726e-63	1.25557017538435e-38	1.85858550271668e-65	0.251076051779935	0.128945251502496	CTB-50L17.9, UBXN6
chr11	69455671	69455731	61	*	6	5.4630342475067e-109	6.40489037154798e-40	1.15290596143154e-36	2.20901778613878e-65	0.180610319599538	0.0597323835194455	NA
chr7	43153201	43153223	23	*	3	5.90422417940994e-106	1.46826595727213e-60	4.76784234387572e-41	3.05572761299413e-65	0.204457065845206	0.102026376588371	HECW1
chr5	121414025	121414172	148	*	5	2.11222938907285e-110	1.78844674670187e-42	6.72478136348972e-36	5.16447258866827e-65	0.227538505968425	0.0822718521370812	NA
chr17	80771341	80771428	88	*	3	2.04916129682893e-95	3.36690220688083e-63	1.33717763671658e-29	5.82876819022184e-65	0.132999387254902	0.0729352425180599	TBCD
chr11	44972672	44972971	300	*	7	2.28402889505907e-58	3.46930923081042e-62	1.76979144264705e-22	9.29131835516321e-65	0.100396611474779	0.0604317579290798	TP53I11
chr19	894588	894654	67	*	2	5.73145612638107e-96	4.73279525226594e-65	8.67400098349322e-38	1.68409023480821e-64	0.101504289215686	0.0861125677244585	NA
chr10	99496847	99496889	43	*	4	6.38054227129528e-117	9.74561019775104e-39	3.97824563774224e-36	1.77459638557806e-64	0.272805159799769	0.0947935117443203	ZFYVE27
chr10	35464474	35464629	156	*	4	5.15870789597286e-77	1.20821725133917e-63	1.03922949630434e-25	1.91467001890571e-64	0.116849400729547	0.0769587055894281	CREM
chr20	21494679	21494831	153	*	7	6.94618892554402e-66	4.02722122984158e-54	6.92641797451671e-25	2.78071087055827e-64	0.19575086638429	0.0844285989328346	NA
chr4	48833004	48833280	277	*	10	2.04467701091622e-58	4.79534418610704e-42	9.21424990442427e-23	3.67680795956365e-64	0.139657296881017	0.0362473045822102	OCIAD1
chr1	246582071	246582116	46	*	2	7.35189056146873e-108	3.88246105568406e-64	1.50741231898922e-40	3.89320495928276e-64	0.133325	0.127315750773994	SMYD3
chr10	21797112	21797184	73	*	3	6.70474017404989e-83	3.93969192428986e-65	6.30240173074879e-26	6.69373461791663e-64	-0.0826046723300971	0.00955199647820287	NA
chr2	10281159	10281345	187	*	5	2.333196703027e-54	5.15900880392483e-59	2.31640097050043e-19	8.40907605826821e-64	0.0551311180062056	0.0391466501307012	NA
chr16	31439672	31439752	81	*	3	3.61567910832144e-97	3.33762081648314e-61	1.14394204773222e-36	1.17589252730074e-63	0.0967322432294329	0.0688073180551179	COX6A2
chr12	80328930	80328999	70	*	2	4.05138029760138e-90	3.53737447006888e-64	1.1105570831467e-35	1.87007907211913e-63	0.198242202541394	0.121179245283019	RP11-84G21.1, PPP1R12A
chr21	45379489	45379721	233	*	5	8.58021254649591e-71	3.61147373411524e-59	1.25485796652267e-29	2.65499132603396e-63	0.149527210884354	0.0682433265501616	AGPAT3
chr6	53213803	53214030	228	*	7	3.57160469220923e-64	7.25297723106393e-58	2.70256830353049e-18	3.54897092041645e-63	0.132487485560262	0.0461964354474943	ELOVL5
chr3	28282917	28283093	177	*	5	4.99657987375562e-117	2.44242150798261e-43	2.24815477532413e-40	3.85450461802924e-63	0.252504813246053	0.0594324220254138	CMC1
chr18	32398181	32398287	107	*	3	1.27316231248601e-73	4.4434166066241e-64	3.77507378228326e-25	5.34332263408436e-63	0.0908827514330379	0.066814070345506	DTNA
chr6	52535675	52535846	172	*	7	5.48970977291081e-69	3.00585459036504e-45	2.10267517379787e-27	6.92588617985106e-63	0.195851944551405	0.0529721106771549	NA
