seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes
chr15	26026249	26026414	166	*	3	3.53891523263106e-50	1.78385738986907e-62	7.31473176172632e-25	1.62500077203437e-61	0.103182933060807	0.0712887294094768	ATP10A
chr10	133747940	133748026	87	*	2	1.71716465232308e-62	1.01793113335464e-39	4.06189644900584e-33	4.53857712013999e-42	0.123957894736842	0.0816763157894739	PPP2R2D
chr1	43283862	43283884	23	*	2	4.39936808823578e-56	1.81864600223897e-42	2.85530473103856e-23	9.5168525045188e-42	0.0543971093592077	0.0497537917822615	ERMAP
chr1	182360794	182360822	29	*	2	4.94566161060184e-49	4.82018125391882e-35	1.52365214591084e-25	1.2688350222877e-35	0.102706006931074	0.0745181940700809	GLUL
chr7	23749607	23749639	33	*	2	6.30554108707642e-45	6.07331448172189e-33	1.19104770473647e-23	2.47739045118695e-33	0.127159863945578	0.0891427250942065	NA
chrX	70443001	70443093	93	*	2	1.15565558679768e-51	4.2522433100839e-28	5.08234202678735e-30	4.74680740187975e-33	0.0758947368421053	0.0737244930085115	GJB1
chr11	69460951	69461008	58	*	2	2.24331532852396e-45	2.08349004024517e-31	2.16043010365396e-24	2.21279988271757e-32	0.0709	0.0525849110032363	CCND1
chr1	203768441	203768517	77	*	2	2.01728563818982e-31	2.89370436757079e-32	4.38103005217957e-17	1.46687948131091e-31	0.054549244398124	0.0443306077511778	ZC3H11A, ZBED6
chr15	41098188	41098255	68	*	2	9.89262253093448e-38	1.47256116279513e-31	2.49874672521733e-20	2.70649111482138e-31	0.17520029455081	0.112635750990575	DNAJC17
chr3	15641821	15641908	88	*	2	2.57129082776933e-32	3.30099680410308e-31	1.36544676871169e-19	7.74041087615827e-31	0.0393535539215688	0.036623884829466	HACL1
chr6	123110741	123110863	123	*	3	4.94566161060184e-49	1.02868633133976e-18	8.10499924882483e-30	1.47412011260639e-30	0.0870600693107431	0.028288409703504	SMPDL3A
chr5	121414088	121414172	85	*	2	2.45624276347559e-52	8.3660559886623e-18	3.58140164598975e-30	3.36148897467438e-29	0.158944936465152	0.0801294763188294	NA
chr16	31439681	31439752	72	*	2	1.62374154865381e-35	4.90754387592535e-29	3.29688970242315e-20	4.09471562162174e-29	0.0646446078431374	0.0548448554679604	COX6A2
chr3	45018909	45018949	41	*	2	1.09214390215611e-43	1.35201082434167e-23	1.73934385545552e-26	1.94056780903134e-28	0.0680710270822688	0.054054413884777	EXOSC7
chr2	20527635	20527677	43	*	2	1.28579745656653e-32	5.71616242405334e-27	5.24095905053855e-17	1.38338541840067e-26	0.0486582777440874	0.0414695775217304	PUM2
chr11	96124628	96124636	9	*	2	2.21286437899615e-31	1.86626870149839e-26	2.4229041319787e-16	5.23092230425989e-26	0.0370651294498382	0.0366686517711239	JRKL
chr11	67373083	67373114	32	*	2	6.74624244201911e-31	7.06342640650916e-26	4.86403580040079e-16	1.94804197870008e-25	0.0886198706286638	0.086024235610341	RP11-655M14.12, C11orf72
chr11	62528988	62528990	3	*	2	2.94845560079119e-30	7.47020096985051e-26	5.78553393138778e-15	2.87870631248885e-25	0.0452964959568732	0.0379871005005775	NA
chr17	40275057	40275126	70	*	2	1.59527209305029e-29	4.05638575083673e-25	3.43362980036886e-17	5.01615128147369e-25	0.0615867639395518	0.0515422322508183	HSPB9, CTD-2132N18.3
chr20	58507171	58507232	62	*	2	1.1871014245043e-32	1.74869026028038e-23	1.9533344610539e-19	1.59621219033298e-24	0.050453431372549	0.0365249314453506	SYCP2
chr14	50359789	50359859	71	*	2	3.74879890496048e-32	2.47278047134731e-23	1.6868790595559e-19	1.92284707288745e-24	0.131422795533308	0.0549682325760493	ARF6
chr10	131354873	131354940	68	*	2	1.16993036058419e-26	8.52474214067262e-25	8.46738155816842e-15	2.89186712395676e-24	0.0411703431372549	0.0373389495780073	MGMT
chr19	45737483	45737485	3	*	2	7.25697630193248e-29	4.39981957078521e-24	1.46471932779023e-16	5.43300280778657e-24	0.04371875	0.0354977310231025	MARK4
chr9	130968009	130968072	64	*	2	8.26934137069089e-26	1.14063980693407e-23	2.76752602194874e-14	3.6758570581134e-23	0.115523809523809	0.0832750626566415	DNM1
chr3	109035381	109035469	89	*	2	2.04502370093163e-23	6.22886597067304e-23	1.98334640412234e-15	9.88933888009394e-23	0.0377283653846154	0.0356797116136209	NA
chr15	23810238	23810280	43	*	2	2.24597688271408e-28	4.66652543742962e-22	5.98394158740778e-17	1.74932296532211e-22	0.0993049672699268	0.0703339004324517	NA
chr17	37844223	37844289	67	*	2	8.02762730633141e-33	2.63739043335285e-19	1.62636699623272e-20	2.07583610780862e-22	-0.0244561031959954	-0.00489362726222565	ERBB2, PGAP3
chr16	1400772	1400833	62	*	2	4.54973394255624e-23	2.36125511867002e-22	2.82793808723873e-12	9.90274059773957e-22	0.0568611750575518	0.0506288105679916	TSR3
chr12	4383699	4383770	72	*	3	1.34717582682589e-25	9.52006109071133e-22	1.43313485574993e-10	1.44217656540465e-21	0.0436696187909126	0.0269949300474907	CCND2, CCND2-AS1, CCND2-AS2
chr2	27806067	27806117	51	*	2	1.04347313415602e-34	4.90508126043067e-11	1.16379148218507e-22	2.26409734235054e-21	0.131189834424336	0.0651934924913362	ZNF512, RP11-158I13.2
chr17	61903314	61903327	14	*	2	2.6097772212429e-27	1.37191564174471e-17	6.19184720118514e-20	3.87335594440121e-21	0.0582935049019608	0.0116940319817248	FTSJ3
